,author
325,A. S. Bavan
326,A. S. J. Chapman
327,A. S. Kayhan
328,A. S. Krishnakumar
329,A. S. Lewis
330,A. S. M. Sajeev
331,A. S. Madhukumar
332,A. S. Nepomniaschaya
333,A. S. Troelstra
334,A. Salam
335,A. Salim Kayhan
336,A. Salzo
337,A. Sankaranarayanan
338,A. Santos
339,A. Satish
340,A. Satyanarayana
341,A. Schramm
342,A. Schreiber
343,A. Schubert
344,A. Segal
345,A. Sehad
346,A. Sengupta
347,A. Senthil Kumar
348,A. Sharma
349,A. Springub
350,A. Srivastava
351,A. Stephen Morse
352,A. Steven Pollitt
353,A. Stewart
354,A. Stewart Fotheringham
355,A. Stoll
356,A. Storr
357,A. Sutherland
358,A. Swarup
359,A. T. Campbell III
360,A. T. Chamillard
361,A. T. Gumahad II
362,A. T. M. Aerts
363,A. T. M. Shafiqul Khalid
364,A. T. Wood-Harper
365,A. Tai
366,A. Taleb-Bendiab
367,A. Tanju Erdem
368,A. Tawfik
369,A. Terry Bahill
370,A. Th. Schreiber
371,A. Torrecillas
372,A. Tortorici Macaluso
373,A. Touir
374,A. Traub
375,A. Tsigris
376,A. Udaya Shankar
377,A. Ufuk Agar
378,A. V. Agranovski
379,A. V. Lensky
380,A. V. S. Sastry
381,A. V. Timofeev
382,A. V. Voytishek
383,A. Vagelatos
384,A. Varfis
385,A. Varga
386,A. Vermeerbergen
387,A. Victor Cabot
388,A. Vince
389,A. Visser
390,A. Volgenant
391,A. W. G. Duller
392,A. W. Roscoe
393,A. W. Schrift
394,A. W. van Halderen
395,A. Wayne Madison
396,A. Wayne Wymore
397,A. Wilson
398,A. Wong
399,A. Wormek
400,A. Y. Cairns
401,A. Yahia
402,A. Yavuz Oruç
403,A. Yonca Özge
404,A. Yoshioka
405,A. Yu. Ol'shanskii
406,A. Yu. Zharkov
407,A. Yáñez
408,A. Zaafrani
409,A. Zayezdny
410,A. Zárate
411,A. de Montalvo
412,A. de la Hera
413,A. del Río
414,A.-Robert LeBlanc
415,Aad J. van der Steen
416,Aad P. A. van Moorsel
417,Aamir Rasheed
418,Aamod Sane
419,Aapo Hyvärinen
420,Aarne Halme
421,Aarne Mämmelä
422,Aarne Ranta
423,Aarni Lehtinen
424,Aarno Lehtola
425,Aarnoud Hoekstra
426,Aarnout Brombacher
427,Aaron A. Armstrong
428,Aaron A. Jennings
429,Aaron B. Binkley
430,Aaron B. Brown
431,Aaron B. Kiely
432,Aaron C. Barnes
433,Aaron C. W. Kotcheff
434,Aaron Clevenson
435,Aaron D. Benally
436,Aaron D. Wyner
437,Aaron E. Naiman
438,Aaron E. Rosenberg
439,Aaron F. Bobick
440,Aaron Feigelson
441,Aaron Fenster
442,Aaron G. Cass
443,Aaron H. Konstam
444,Aaron Harwood
445,Aaron Heller
446,Aaron Hertzmann
447,Aaron J. Goldberg
448,Aaron J. Owens
449,Aaron J. Quigley
450,Aaron J. Shenhar
451,Aaron Kershenbaum
452,Aaron L. Fogelson
453,Aaron Larson
454,Aaron Marcus
455,Aaron Marks
456,Aaron Melman
457,Aaron Meyerowitz
458,Aaron Robertson
459,Aaron S. Wallack
460,Aaron Schwartzbard
461,Aaron Sloman
462,Aaron Smith
463,Aaron Striegel
464,Aaron Temin
465,Aaron W. F. Lee
466,Aaron Watters
467,Aart A. J. Matsinger
468,Aart Blokhuis
469,Aart J. C. Bik
470,Aart J. de Geus
471,Aart Middeldorp
472,Aart van Halteren
473,Aarti Gupta
474,Aashu Virmani
475,Aatto Laaksonen
476,Abani K. Patra
477,Abba B. Gumel
478,Abbas Aghamohammadi
479,Abbas Edalat
480,Abbas El Gamal
481,Abbas Jamalipour
482,Abbas K. Zaidi
483,Abbas Rafii
484,Abbas Seifi
485,Abbas Yongaçoglu
486,Abbas Z. Kouzani
487,Abbe Don
488,Abbe Mowshowitz
489,Abby Ghobadian
490,Abby Goodrum
491,Abd-El-Kader Sahraoui
492,Abdallah Assi
493,Abdallah El-Ramsisi
494,Abdallah M. Alashqur
495,Abdallah Tabbara
496,Abdel Aziz Farrag
497,Abdel Belaïd
498,Abdel Ejnioui
499,Abdel Elah Al-Ayyoub
500,Abdel Ennaji
501,Abdel Kader Diagne
502,Abdel Krim Amoura
503,Abdel Wahab Zramdini
504,Abdel-Ghani A. Daraiseh
505,Abdel-Halim Smai
506,Abdel-Illah Mouaddib
507,Abdel-Karim S. O. Hassan
508,Abdel-Ouahab Boudraa
509,Abdel-Wahab Fayez
510,Abdelaziz Bensrhair
511,Abdelaziz Bouras
512,Abdelaziz Bouroumi
513,Abdelaziz Fellah
514,Abdelaziz Guerrouat
515,Abdelaziz Mounji
516,Abdelaziz Mzoughi
517,Abdelaziz Ouldali
518,Abdeldjalil Ouahabi
519,Abdelgader M. Legnain
520,Abdelghani Bellaachia
521,Abdelhafid Abouaissa
522,Abdelhafid Berrachedi
523,Abdelhak M. Zoubir
524,Abdelhak Seriai
525,Abdelhakim Artiba
526,Abdelhakim Ghezal
527,Abdelhakim Hafid
528,Abdelhakim Khouas
529,Abdelhakim Saadane
530,Abdelhakim Safir
531,Abdelhamid Benaini
532,Abdelhamid Djouadi
533,Abdelhamid Mellouk
534,Abdelhamid Tayebi
535,Abdelillah Mokkedem
536,Abdelkader Hameurlain
537,Abdelkrim Benamar
538,Abdelkrim Nimour
539,Abdella Battou
540,Abdellah El Moudni
541,Abdellah Salhi
542,Abdellah Touhafi
543,Abdellatif Agouzal
544,Abdellatif Medouri
545,Abdellatif Obaid
546,Abdellatif Saoudi
547,Abdelmadjid Bouabdallah
548,Abdelmajid Ben Hamadou
549,Abdelmalek B. C. Zidouri
550,Abdelmalek Benzekri
551,Abdelmalik Taleb-Ahmed
552,Abdelnaser Mohammad Adas
553,Abdelouafi Meziane
554,Abdelouahab Mekaouche
555,Abdelsalam Heddaya
556,Abdelsalam Helal
557,Abdelwaheb Ayari
558,Abdelwaheb Rebaï
559,Abdenaim El Yacoubi
560,Abdennasser Chebira
561,Abdenour Hadid
562,Abder Koukam
563,Abderezak Touzene
564,Abderrahim Benslimane
565,Abderrahim Bentamy
566,Abderrahim Doumar
567,Abderrahim Elmoataz
568,Abderrahim Jourani
569,Abderrahmane Aggoun
570,Abderrahmane Essaid
571,Abderrahmane Kheddar
572,Abderrazak Ghedamsi
573,Abderrhaman Iggidr
574,Abdeslam En-Nouaary
575,Abdessalam Benzinou
576,Abdessatar Abderrahman
577,Abdesselam Bouzerdoum
578,Abdo Y. Alfakih
579,Abdol-Hossein Esfahanian
580,Abdol-Reza Mansouri
581,Abdollah A. Afjeh
582,Abdollah Homaifar
583,Abdollah Katbab
584,Abdollah Khodkar
585,Abdolreza Nabavi-Lishi
586,Abdou Youssef
587,Abdoul Karim Arman Toguyéni
588,Abdul A. Malik
589,Abdul Ahad S. Awwal
590,Abdul H. Sadka
591,Abdul Paliwala
592,Abdul Rahim Leyman
593,Abdul Rahman Abdullah
594,Abdul Rahman Aljadhai
595,Abdul Rahman Bin Abdullah
596,Abdul Samad Kazi
597,Abdul Sattar 0001
598,Abdul V. Roudsari
599,Abdul Waheed
600,Abdul-Majid Wazwaz
601,Abdul-Qayyum M. Khaliq
602,Abdulazeez S. Boujarwah
603,Abdulaziz Al-Muammar
604,Abdulla Bataineh
605,Abdulla H. Abdul-Gader
606,Abdulla M. Hussein
607,Abdullah A. Abonamah
608,Abdullah Al-Dhelaan
609,Abdullah Atalar
610,Abdullah I. Al-Shoshan
611,Abdullah I. Meajil
612,Abdullah Uz Tansel
613,Abdulmotaleb El-Saddik
614,Abdulnasir Hossen
615,Abdur Chowdhury
616,Abdón Sánchez-Arroyo
617,Abeer A. Alwan
618,Abeer Alwan
619,Abel Dasylva
620,Abel J. P. Gomes
621,Abel Weinrib
622,Abelardo López-Lagunas
623,Abelardo Pardo
624,Abha Ahuja
625,Abhay B. Bulsari
626,Abhay K. Parekh
627,Abhaya Asthana
628,Abhaya C. Nayak
629,Abhi Dattasharma
630,Abhijeet Kolpekwar
631,Abhijit A. Shah
632,Abhijit Chatterjee
633,Abhijit Chaudhury
634,Abhijit Das
635,Abhijit Dharchoudhury
636,Abhijit G. Shanbhag
637,Abhijit Ghosh
638,Abhijit Gopal
639,Abhijit Jas
640,Abhijit K. Choudhury
641,Abhijit M. Lele
642,Abhijit Mahalanobis
643,Abhijit S. Pandya
644,Abhijit Sahay
645,Abhijit Sengupta
646,Abhik Roychoudhury
647,Abhinandan Jain
648,Abhir Bhalerao
649,Abhiram G. Ranade
650,Abhirup Chatterjee
651,Abigail S. Gertner
652,Abigail Sellen
653,Abilio Lucena
654,Abou Bakr M. Youssef
655,Aboul Ella Hassanien
656,Abraham Alcaim
657,Abraham B. Shani
658,Abraham Bernstein
659,Abraham Bookstein
660,Abraham Charnes
661,Abraham Grosfeld-Nir
662,Abraham Ittycheriah
663,Abraham J. Wyner
664,Abraham Kandel
665,Abraham Lempel
666,Abraham Mehrez
667,Abraham Neyman
668,Abraham P. Punnen
669,Abraham Schultz
670,Abraham Seidmann
671,Abraham Silberschatz
672,Abram P. Dancy
673,Abu S. M. Hassan
674,Abul K. M. Azad
675,Abul Kashem
676,Aby Tehranipour
677,Abílio Azenha
678,Achi Brandt
679,Achiel R. Van Cauwenberghe
680,Achille Achache
681,Achille C. Varzi
682,Achille J.-P. Braquelaire
683,Achille Pattavina
684,Achilleas Anastasopoulos
685,Achilleas Papakostas
686,Achilleas Sinefakopoulos
687,Achilles D. Kameas
688,Achilles Kameas
689,Achim Bachem
690,Achim Basermann
691,Achim Bode
692,Achim F. Müller
693,Achim Flammenkamp
694,Achim G. Hoffmann
695,Achim Gratz
696,Achim Ilchmann
697,Achim Jung
698,Achim Karduck
699,Achim Knepper
700,Achim Kraiss
701,Achim Mayer
702,Achim Michel
703,Achim Osswald
704,Achim Rettberg
705,Achim Schweikard
706,Achim Sixtus
707,Achim Steinacker
708,Achim Sydow
709,Achim Ulbrich-vom Ende
710,Achim W. Janser
711,Achim Weigel
712,Achim von Brandt
713,Achiya Dax
714,Achmad Jazidie
715,Achour Mostéfaoui
716,Ad Aertsen
717,Ad Emmen
718,Ad H. M. Thiers
719,Ad J. van de Goor
720,Ad M. G. Peeters
721,Ad Ridder
722,Ada Wai-Chee Fu
723,Adair Dingle
724,Adalbert Kerber
725,Adam A. Porter
726,Adam B. Fineberg
727,Adam B. Levy
728,Adam B. Wilcox
729,Adam Bakewell
730,Adam Baumberg
731,Adam Beguelin
732,Adam Belloum
733,Adam Bosworth
734,Adam Brooks Webber
735,Adam C. Siepel
736,Adam C. Winstanley
737,Adam Cheyer
738,Adam Cichon
739,Adam Dingle
740,Adam Donlin
741,Adam Drozdek
742,Adam E. Gaweda
743,Adam Fadlalla
744,Adam Farquhar
745,Adam Ferrari
746,Adam Finkelstein
747,Adam Galper
748,Adam Ghozeil
749,Adam Godzik
750,Adam Greenberg
751,Adam Grummitt
752,Adam Idzik
753,Adam J. Grove
754,Adam Jacobs
755,Adam Janiak
756,Adam Józwik
757,Adam Kalai
758,Adam Kilgarriff
759,Adam Kolany
760,Adam Kolawa
761,Adam Kowalczyk
762,Adam Krawczyk
763,Adam Krzyzak
764,Adam L. Asare
765,Adam L. Berger
766,Adam L. Buchsbaum
767,Adam L. Janin
768,Adam L. Taylor
769,Adam L. Young
770,Adam Lindsay
771,Adam Liwo
772,Adam Luczak
773,Adam M. Costello
774,Adam Malinowski
775,Adam Meyers
776,Adam Meyerson
777,Adam Morawiec
778,Adam Mrózek
779,Adam N. Letchford
780,Adam Obtulowicz
781,Adam Ouorou
782,Adam Pawlak
783,Adam Pawlowski
784,Adam Pease
785,Adam Pietrowcew
786,Adam Postula
787,Adam Prügel-Bennett
788,Adam R. Klivans
789,Adam R. Talcott
790,Adam Rifkin
791,Adam Sah
792,Adam Seiver
793,Adam Shwartz
794,Adam Stork
795,Adam V. Adamopoulos
796,Adam W. Bojanczyk
797,Adam W. Divelbiss
798,Adam W. Hoover
799,Adam W. Strzebonski
800,Adam Wolisz
801,Adam Wyszynski
802,Adam Zemla
803,Adamantios Koumpis
804,Adar Pelah
805,Adarshpal S. Sethi
806,Adas Gelzinis
807,Adedeji B. Badiru
808,Adegbemiga Ola
809,Adel A. M. Saleh
810,Adel A. Sewisy
811,Adel Baganne
812,Adel Belouchrani
813,Adel Bouhoula
814,Adel Changuel
815,Adel H. Eltimsahy
816,Adel I. El-Fallah
817,Adel M. Abunawass
818,Adel M. Alimi
819,Adel M. D. Turkmani
820,Adel S. Sedra
821,Adel Said Elmaghraby
822,Adel Shrufi
823,Adela Salvador
824,Adele A. Rescigno
825,Adele Cutler
826,Adele E. Howe
827,Adele Goldberg
828,Adele Lorusso
829,Adelheit Stein
830,Adelinde M. Uhrmacher
831,Adeline Nazarenko
832,Adelino R. Ferreira da Silva
833,Adelino Santos
834,Adelio Salsano
835,Adem Yasar Mülayim
836,Adhemar Bultheel
837,Adi Ben-Israel
838,Adi Bonen
839,Adi Eyal
840,Adi Levin
841,Adi M. Treasurywala
842,Adi R. Bulsara
843,Adi Raveh
844,Adi Rosén
845,Adi Shamir
846,Adi Yoaz
847,Adib Y. Nashashibi
848,Adil Al-Yasiri
849,Adil Kabbaj
850,Adisak Mekkittikul
851,Adit D. Singh
852,Aditi Dhagat
853,Aditi Singru
854,Aditya Dube
855,Aditya Ghose
856,Aditya N. Saharia
857,Aditya P. Mathur
858,Aditya Shastri
859,Aditya Vailaya
860,Adlai Waksman
861,Admela Jukan
862,Adnan A. Abu-Dayya
863,Adnan A. Y. Mustafa
864,Adnan Agbaria
865,Adnan Amin
866,Adnan Andrew Nouh
867,Adnan Aziz
868,Adnan Darwiche
869,Adnan H. Yahya
870,Adnan K. Shaout
871,Adnan Kavak
872,Adnan M. Alattar
873,Adnan Yazici
874,Adolf Grauel
875,Adolf H. Glattfelder
876,Adolf Karger
877,Adolfo Guzmán-Arenas
878,Adolfo Lozano Tello
879,Adolfo Piperno
880,Adolfo R. de Soto
881,Adolfo Steiger-Garção
882,Adolfo Suárez
883,Adolfo Sánchez-Flores
884,Adolfo Villafiorita
885,Adolfy Hoisie
886,Adonios Simvonis
887,Adonios Thanailakis
888,Adoración Rueda
889,Adoración de Miguel Castaño
890,Adoram Erell
891,Adri G. Steenbeek
892,Adriaan J. de Lind van Wijngaarden
893,Adriaan Kegel
894,Adriaan van den Bos
895,Adrian A. Dolinsky
896,Adrian A. Hopgood
897,Adrian Atanasiu
898,Adrian Bowyer
899,Adrian Broadhurst
900,Adrian Browne
901,Adrian Brüngger
902,Adrian Bullock
903,Adrian Burian
904,Adrian Ciobanu
905,Adrian Colbrook
906,Adrian Corduneanu
907,Adrian Cox
908,Adrian David Cheok
909,Adrian Demaid
910,Adrian Dumitrescu
911,Adrian E. Conway
912,Adrian E. Eckberg
913,Adrian E. Raftery
914,Adrian F. Clark
915,Adrian Fiech
916,Adrian Fourcin
917,Adrian Freed
918,Adrian Friday
919,Adrian G. Bors
920,Adrian Gordon
921,Adrian Grah
922,Adrian Halinka
923,Adrian Hilton
924,Adrian Ioinovici
925,Adrian J. Baddeley
926,Adrian J. Isles
927,Adrian J. Luckman
928,Adrian J. West
929,Adrian Johnstone
930,Adrian K. Agogino
931,Adrian K. Fung
932,Adrian Kobler
933,Adrian Loeff
934,Adrian Moga
935,Adrian Munteanu 0001
936,Adrian Müller
937,Adrian N. Cockcroft
938,Adrian N. Evans
939,Adrian O. Waller
940,Adrian P. Whichello
941,Adrian Papamarcou
942,Adrian Perrig
943,Adrian Popplewell
944,Adrian R. Pearce
945,Adrian Riskin
946,Adrian Robson
947,Adrian S. Lewis
948,Adrian Segall
949,Adrian Silvescu
950,Adrian Smith
951,Adrian Spalka
952,Adrian Spinéi
953,Adrian Stoica
954,Adrian T. Wong
955,Adrian Tang 0001
956,Adrian Thompson
957,Adrian Walker
958,Adrian West
959,Adrian Williamson
960,Adrian-Horia Dediu
961,Adriana B. Compagnoni
962,Adriana Bodnarova
963,Adriana Dapena
964,Adriana Dumitras
965,Adriana Maggiore
966,Adriana Muñoz
967,Adriana Roventini
968,Adriana Santarosa Vivacqua
969,Adriana Zapico
970,Adriano Camps
971,Adriano Di Pasquale
972,Adriano M. Garsia
973,Adriano Peron
974,Adriano Tirabosco
975,Adriano Valenzano
976,Adriano de Luca
977,Adrianos Lachanas
978,Adrianus Dingeman de Groot
979,Adrie J. M. Beulens
980,Adrie J. Visscher
981,Adrien Presley
982,Adrienne G. Bloss
983,Adrienne L. Broadwater
984,Adrienne Stanley
985,Adrienne Warmack
986,Adrienne Y. Lee
987,Adrish Ray Chaudhuri
988,Adrián Núñez-Aldana
989,Aduri Pavan
990,Adwait Ratnaparkhi
991,Adwin H. Timmer
992,Ae-sun Yoon
993,Afonso Ferreira
994,Afonso de C. Pinto
995,Afrodita Iorgulescu
996,Afrodite Sevasti
997,Afsaneh Haddadi
998,Afsar Saranli
999,Afzaal H. Seyal
1000,Afzal Ballim
1001,Afzal Malik
1002,Agaath M. C. Sluijter
1003,Agata Ciabattoni
1004,Agathe Merceron
1005,Aggeliki Dede
1006,Aggelos K. Katsaggelos
1007,Aggelos Pikrakis
1008,Agha Iqbal Ali
1009,Agisilaos Konidaris
1010,Agma J. M. Traina
1011,Agnaldo D. de Souza
1012,Agnar Aamodt
1013,Agnes Hotz-Wagenblatt
1014,Agnes Hui Chan
1015,Agnes Kukulska-Hulme
1016,Agnes Lanusse
1017,Agnessa Babloyantz
1018,Agnieszka Konczykowska
1019,Agnieszka Mykowiecka
1020,Agnès Arnould
1021,Agnès Devarenne
1022,Agnès Front-Conte
1023,Agnès Tutin
1024,Agnès Voisard
1025,Ago Kuusik
1026,Agostinho C. Rosa
1027,Agostino Cortesi
1028,Agostino Di Scipio
1029,Agostino Dovier
1030,Agostino G. Bruzzone
1031,Agostino Mathis
1032,Agostino Poggi
1033,Agustin Arruabarrena
1034,Agustin Fernández
1035,Agustin González
1036,Agustí Lloberas
1037,Agustín De Dios Hernández
1038,Agustín Espinosa
1039,Agustín Jiménez
1040,Agustín Valverde
1041,Agustín Álvarez Marquina
1042,Ah Chung Tsoi
1043,Ah-Hwee Tan
1044,Aharon Aharon
1045,Aharon Ben-Tal
1046,Ahmad A. Hiasat
1047,Ahmad A. Masoud
1048,Ahmad Afsahi
1049,Ahmad Alsolaim
1050,Ahmad B. Rad
1051,Ahmad Baraani-Dastjerdi
1052,Ahmad Dalal'ah
1053,Ahmad Fuad Rezaur Rahman
1054,Ahmad H. Nasri
1055,Ahmad Hemami
1056,Ahmad Jalali
1057,Ahmad Lotfi
1058,Ahmad S. Tolba
1059,Ahmad Sharary
1060,Ahmad Zandi
1061,Ahmad-Reza Sadeghi
1062,Ahmed A. Bahnasawi
1063,Ahmed A. Rafea
1064,Ahmed A. Tarraf
1065,Ahmed Ainouche
1066,Ahmed Amine Jerraya
1067,Ahmed Bouajjani
1068,Ahmed Bouridane
1069,Ahmed E. Barbour
1070,Ahmed E. Kamal
1071,Ahmed El Moussaoui
1072,Ahmed El-Amawy
1073,Ahmed F. Shalash
1074,Ahmed Ferchichi
1075,Ahmed Ghali
1076,Ahmed Gheith
1077,Ahmed Guessoum
1078,Ahmed H. Kandil
1079,Ahmed H. Sameh
1080,Ahmed H. Tewfik
1081,Ahmed Helmy
1082,Ahmed Hemani
1083,Ahmed I. Zayed
1084,Ahmed K. Elhakeem
1085,Ahmed K. Elmagarmid
1086,Ahmed K. Noor
1087,Ahmed Kamel
1088,Ahmed Karmouch
1089,Ahmed Khoumsi
1090,Ahmed Louri
1091,Ahmed M. Abdelatty Ali
1092,Ahmed M. Assaf
1093,Ahmed M. Darwish 0001
1094,Ahmed M. El-Bialy
1095,Ahmed M. Shams
1096,Ahmed M. Soliman
1097,Ahmed Mehaoua
1098,Ahmed Mokhtar
1099,Ahmed Mostefaoui
1100,Ahmed N. Tantawy
1101,Ahmed Patel
1102,Ahmed R. Bashandy
1103,Ahmed Rachid
1104,Ahmed Rida
1105,Ahmed S. Abutaleb
1106,Ahmed S. Elwakil
1107,Ahmed S. Fahmy
1108,Ahmed Saoudi
1109,Ahmed Seffah
1110,Ahmed Serhrouchni
1111,Ahmed Y. Tawfik
1112,Ahmet A. Akyamaç
1113,Ahmet Ademoglu
1114,Ahmet Cosar
1115,Ahmet H. Kayran
1116,Ahmet Irfan Oyman
1117,Ahmet Kemal Özdemir
1118,Ahmet Kirac
